Date,Month,type,Holiday_Name,Average of Temp,Average of total_precip,rain_avg_year,Average of Sun,sun_avg_year,number_of_visitors
1/15/2016,1,Bar/Cocktail,Normal_day,0.42,1.4,3.02,4.6,3.42,453
1/15/2016,1,Cafe/Sweets,Normal_day,0.42,1.4,3.02,4.6,3.42,1261
1/15/2016,1,Creative cuisine,Normal_day,0.42,1.4,3.02,4.6,3.42,61
1/15/2016,1,Dining bar,Normal_day,0.42,1.4,3.02,4.6,3.42,720
1/15/2016,1,Italian/French,Normal_day,0.42,1.4,3.02,4.6,3.42,848
1/15/2016,1,Izakaya,Normal_day,0.42,1.4,3.02,4.6,3.42,2242
1/15/2016,1,Japanese food,Normal_day,0.42,1.4,3.02,4.6,3.42,544
1/15/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,0.42,1.4,3.02,4.6,3.42,102
1/15/2016,1,Other,Normal_day,0.42,1.4,3.02,4.6,3.42,224
1/15/2016,1,Western food,Normal_day,0.42,1.4,3.02,4.6,3.42,169
1/15/2016,1,Yakiniku/Korean food,Normal_day,0.42,1.4,3.02,4.6,3.42,193
1/16/2016,1,Bar/Cocktail,Normal_day,0.67,1.68,3.02,5.43,3.42,554
1/16/2016,1,Cafe/Sweets,Normal_day,0.67,1.68,3.02,5.43,3.42,1954
1/16/2016,1,Creative cuisine,Normal_day,0.67,1.68,3.02,5.43,3.42,60
1/16/2016,1,Dining bar,Normal_day,0.67,1.68,3.02,5.43,3.42,789
1/16/2016,1,Italian/French,Normal_day,0.67,1.68,3.02,5.43,3.42,806
1/16/2016,1,Izakaya,Normal_day,0.67,1.68,3.02,5.43,3.42,2231
1/16/2016,1,Japanese food,Normal_day,0.67,1.68,3.02,5.43,3.42,541
1/16/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,0.67,1.68,3.02,5.43,3.42,97
1/16/2016,1,Other,Normal_day,0.67,1.68,3.02,5.43,3.42,226
1/16/2016,1,Western food,Normal_day,0.67,1.68,3.02,5.43,3.42,162
1/16/2016,1,Yakiniku/Korean food,Normal_day,0.67,1.68,3.02,5.43,3.42,132
1/17/2016,1,Bar/Cocktail,Normal_day,1.3,7.9,3.03,2.56,3.43,422
1/17/2016,1,Cafe/Sweets,Normal_day,1.3,7.9,3.03,2.56,3.43,1439
1/17/2016,1,Creative cuisine,Normal_day,1.3,7.9,3.03,2.56,3.43,61
1/17/2016,1,Dining bar,Normal_day,1.3,7.9,3.03,2.56,3.43,507
1/17/2016,1,Italian/French,Normal_day,1.3,7.9,3.03,2.56,3.43,523
1/17/2016,1,Izakaya,Normal_day,1.3,7.9,3.03,2.56,3.43,1181
1/17/2016,1,Japanese food,Normal_day,1.3,7.9,3.03,2.56,3.43,264
1/17/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,1.3,7.9,3.03,2.56,3.43,9
1/17/2016,1,Other,Normal_day,1.3,7.9,3.03,2.56,3.43,144
1/17/2016,1,Western food,Normal_day,1.3,7.9,3.03,2.56,3.43,97
1/17/2016,1,Yakiniku/Korean food,Normal_day,1.3,7.9,3.03,2.56,3.43,99
1/18/2016,1,Bar/Cocktail,Normal_day,2.66,19.2,3.03,1.1,3.43,225
1/18/2016,1,Cafe/Sweets,Normal_day,2.66,19.2,3.03,1.1,3.43,647
1/18/2016,1,Creative cuisine,Normal_day,2.66,19.2,3.03,1.1,3.43,50
1/18/2016,1,Dining bar,Normal_day,2.66,19.2,3.03,1.1,3.43,312
1/18/2016,1,Italian/French,Normal_day,2.66,19.2,3.03,1.1,3.43,293
1/18/2016,1,Izakaya,Normal_day,2.66,19.2,3.03,1.1,3.43,1102
1/18/2016,1,Japanese food,Normal_day,2.66,19.2,3.03,1.1,3.43,327
1/18/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,2.66,19.2,3.03,1.1,3.43,51
1/18/2016,1,Other,Normal_day,2.66,19.2,3.03,1.1,3.43,102
1/18/2016,1,Western food,Normal_day,2.66,19.2,3.03,1.1,3.43,54
1/18/2016,1,Yakiniku/Korean food,Normal_day,2.66,19.2,3.03,1.1,3.43,111
1/19/2016,1,Bar/Cocktail,Normal_day,1.16,5.22,3.03,2.82,3.44,314
1/19/2016,1,Cafe/Sweets,Normal_day,1.16,5.22,3.03,2.82,3.44,911
1/19/2016,1,Creative cuisine,Normal_day,1.16,5.22,3.03,2.82,3.44,20
1/19/2016,1,Dining bar,Normal_day,1.16,5.22,3.03,2.82,3.44,483
1/19/2016,1,Italian/French,Normal_day,1.16,5.22,3.03,2.82,3.44,545
1/19/2016,1,Izakaya,Normal_day,1.16,5.22,3.03,2.82,3.44,1379
1/19/2016,1,Japanese food,Normal_day,1.16,5.22,3.03,2.82,3.44,410
1/19/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,1.16,5.22,3.03,2.82,3.44,66
1/19/2016,1,Other,Normal_day,1.16,5.22,3.03,2.82,3.44,68
1/19/2016,1,Western food,Normal_day,1.16,5.22,3.03,2.82,3.44,138
1/19/2016,1,Yakiniku/Korean food,Normal_day,1.16,5.22,3.03,2.82,3.44,78
1/20/2016,1,Bar/Cocktail,Normal_day,1.07,3.9,3.02,3.35,3.46,325
1/20/2016,1,Cafe/Sweets,Normal_day,1.07,3.9,3.02,3.35,3.46,993
1/20/2016,1,Creative cuisine,Normal_day,1.07,3.9,3.02,3.35,3.46,26
1/20/2016,1,Dining bar,Normal_day,1.07,3.9,3.02,3.35,3.46,536
1/20/2016,1,Italian/French,Normal_day,1.07,3.9,3.02,3.35,3.46,537
1/20/2016,1,Izakaya,Normal_day,1.07,3.9,3.02,3.35,3.46,1471
1/20/2016,1,Japanese food,Normal_day,1.07,3.9,3.02,3.35,3.46,483
1/20/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,1.07,3.9,3.02,3.35,3.46,56
1/20/2016,1,Other,Normal_day,1.07,3.9,3.02,3.35,3.46,162
1/20/2016,1,Western food,Normal_day,1.07,3.9,3.02,3.35,3.46,104
1/20/2016,1,Yakiniku/Korean food,Normal_day,1.07,3.9,3.02,3.35,3.46,110
1/21/2016,1,Bar/Cocktail,Normal_day,1.02,2.78,3.01,3.04,3.47,417
1/21/2016,1,Cafe/Sweets,Normal_day,1.02,2.78,3.01,3.04,3.47,1078
1/21/2016,1,Creative cuisine,Normal_day,1.02,2.78,3.01,3.04,3.47,47
1/21/2016,1,Dining bar,Normal_day,1.02,2.78,3.01,3.04,3.47,498
1/21/2016,1,Italian/French,Normal_day,1.02,2.78,3.01,3.04,3.47,716
1/21/2016,1,Izakaya,Normal_day,1.02,2.78,3.01,3.04,3.47,1589
1/21/2016,1,Japanese food,Normal_day,1.02,2.78,3.01,3.04,3.47,521
1/21/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,1.02,2.78,3.01,3.04,3.47,52
1/21/2016,1,Other,Normal_day,1.02,2.78,3.01,3.04,3.47,205
1/21/2016,1,Western food,Normal_day,1.02,2.78,3.01,3.04,3.47,107
1/21/2016,1,Yakiniku/Korean food,Normal_day,1.02,2.78,3.01,3.04,3.47,172
1/22/2016,1,Bar/Cocktail,Normal_day,1.39,1.94,3,4.21,3.5,394
1/22/2016,1,Cafe/Sweets,Normal_day,1.39,1.94,3,4.21,3.5,1208
1/22/2016,1,Creative cuisine,Normal_day,1.39,1.94,3,4.21,3.5,54
1/22/2016,1,Dining bar,Normal_day,1.39,1.94,3,4.21,3.5,628
1/22/2016,1,Italian/French,Normal_day,1.39,1.94,3,4.21,3.5,987
1/22/2016,1,Izakaya,Normal_day,1.39,1.94,3,4.21,3.5,2302
1/22/2016,1,Japanese food,Normal_day,1.39,1.94,3,4.21,3.5,557
1/22/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,1.39,1.94,3,4.21,3.5,82
1/22/2016,1,Other,Normal_day,1.39,1.94,3,4.21,3.5,213
1/22/2016,1,Western food,Normal_day,1.39,1.94,3,4.21,3.5,188
1/22/2016,1,Yakiniku/Korean food,Normal_day,1.39,1.94,3,4.21,3.5,217
1/23/2016,1,Bar/Cocktail,Normal_day,0.47,2.27,2.99,1.53,3.53,567
1/23/2016,1,Cafe/Sweets,Normal_day,0.47,2.27,2.99,1.53,3.53,1638
1/23/2016,1,Creative cuisine,Normal_day,0.47,2.27,2.99,1.53,3.53,70
1/23/2016,1,Dining bar,Normal_day,0.47,2.27,2.99,1.53,3.53,957
1/23/2016,1,Italian/French,Normal_day,0.47,2.27,2.99,1.53,3.53,885
1/23/2016,1,Izakaya,Normal_day,0.47,2.27,2.99,1.53,3.53,1988
1/23/2016,1,Japanese food,Normal_day,0.47,2.27,2.99,1.53,3.53,649
1/23/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,0.47,2.27,2.99,1.53,3.53,65
1/23/2016,1,Other,Normal_day,0.47,2.27,2.99,1.53,3.53,227
1/23/2016,1,Western food,Normal_day,0.47,2.27,2.99,1.53,3.53,138
1/23/2016,1,Yakiniku/Korean food,Normal_day,0.47,2.27,2.99,1.53,3.53,128
1/24/2016,1,Bar/Cocktail,Normal_day,-2.81,4.39,2.98,3.58,3.57,306
1/24/2016,1,Cafe/Sweets,Normal_day,-2.81,4.39,2.98,3.58,3.57,1296
1/24/2016,1,Creative cuisine,Normal_day,-2.81,4.39,2.98,3.58,3.57,536
1/24/2016,1,Dining bar,Normal_day,-2.81,4.39,2.98,3.58,3.57,507
1/24/2016,1,Italian/French,Normal_day,-2.81,4.39,2.98,3.58,3.57,438
1/24/2016,1,Izakaya,Normal_day,-2.81,4.39,2.98,3.58,3.57,1056
1/24/2016,1,Japanese food,Normal_day,-2.81,4.39,2.98,3.58,3.57,175
1/24/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,-2.81,4.39,2.98,3.58,3.57,28
1/24/2016,1,Other,Normal_day,-2.81,4.39,2.98,3.58,3.57,195
1/24/2016,1,Western food,Normal_day,-2.81,4.39,2.98,3.58,3.57,109
1/24/2016,1,Yakiniku/Korean food,Normal_day,-2.81,4.39,2.98,3.58,3.57,103
1/25/2016,1,Bar/Cocktail,Normal_day,-2.26,2.36,2.95,4.57,3.61,278
1/25/2016,1,Cafe/Sweets,Normal_day,-2.26,2.36,2.95,4.57,3.61,684
1/25/2016,1,Creative cuisine,Normal_day,-2.26,2.36,2.95,4.57,3.61,41
1/25/2016,1,Dining bar,Normal_day,-2.26,2.36,2.95,4.57,3.61,428
1/25/2016,1,Italian/French,Normal_day,-2.26,2.36,2.95,4.57,3.61,420
1/25/2016,1,Izakaya,Normal_day,-2.26,2.36,2.95,4.57,3.61,1282
1/25/2016,1,Japanese food,Normal_day,-2.26,2.36,2.95,4.57,3.61,277
1/25/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,-2.26,2.36,2.95,4.57,3.61,61
1/25/2016,1,Other,Normal_day,-2.26,2.36,2.95,4.57,3.61,144
1/25/2016,1,Western food,Normal_day,-2.26,2.36,2.95,4.57,3.61,118
1/25/2016,1,Yakiniku/Korean food,Normal_day,-2.26,2.36,2.95,4.57,3.61,114
1/26/2016,1,Bar/Cocktail,Normal_day,0.86,0.7,2.92,3.89,3.66,331
1/26/2016,1,Cafe/Sweets,Normal_day,0.86,0.7,2.92,3.89,3.66,991
1/26/2016,1,Creative cuisine,Normal_day,0.86,0.7,2.92,3.89,3.66,16
1/26/2016,1,Dining bar,Normal_day,0.86,0.7,2.92,3.89,3.66,531
1/26/2016,1,Italian/French,Normal_day,0.86,0.7,2.92,3.89,3.66,572
1/26/2016,1,Izakaya,Normal_day,0.86,0.7,2.92,3.89,3.66,1432
1/26/2016,1,Japanese food,Normal_day,0.86,0.7,2.92,3.89,3.66,411
1/26/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,0.86,0.7,2.92,3.89,3.66,109
1/26/2016,1,Other,Normal_day,0.86,0.7,2.92,3.89,3.66,165
1/26/2016,1,Western food,Normal_day,0.86,0.7,2.92,3.89,3.66,134
1/26/2016,1,Yakiniku/Korean food,Normal_day,0.86,0.7,2.92,3.89,3.66,89
1/27/2016,1,Bar/Cocktail,Normal_day,2.79,1.62,2.89,4.04,3.7,331
1/27/2016,1,Cafe/Sweets,Normal_day,2.79,1.62,2.89,4.04,3.7,1152
1/27/2016,1,Creative cuisine,Normal_day,2.79,1.62,2.89,4.04,3.7,43
1/27/2016,1,Dining bar,Normal_day,2.79,1.62,2.89,4.04,3.7,643
1/27/2016,1,Italian/French,Normal_day,2.79,1.62,2.89,4.04,3.7,685
1/27/2016,1,Izakaya,Normal_day,2.79,1.62,2.89,4.04,3.7,1548
1/27/2016,1,Japanese food,Normal_day,2.79,1.62,2.89,4.04,3.7,386
1/27/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,2.79,1.62,2.89,4.04,3.7,47
1/27/2016,1,Other,Normal_day,2.79,1.62,2.89,4.04,3.7,207
1/27/2016,1,Western food,Normal_day,2.79,1.62,2.89,4.04,3.7,125
1/27/2016,1,Yakiniku/Korean food,Normal_day,2.79,1.62,2.89,4.04,3.7,162
1/28/2016,1,Bar/Cocktail,Normal_day,3.24,1.88,2.86,3.33,3.75,327
1/28/2016,1,Cafe/Sweets,Normal_day,3.24,1.88,2.86,3.33,3.75,1239
1/28/2016,1,Creative cuisine,Normal_day,3.24,1.88,2.86,3.33,3.75,46
1/28/2016,1,Dining bar,Normal_day,3.24,1.88,2.86,3.33,3.75,583
1/28/2016,1,Italian/French,Normal_day,3.24,1.88,2.86,3.33,3.75,592
1/28/2016,1,Izakaya,Normal_day,3.24,1.88,2.86,3.33,3.75,1506
1/28/2016,1,Japanese food,Normal_day,3.24,1.88,2.86,3.33,3.75,513
1/28/2016,1,Okonomiyaki/Monja/Teppanyaki,Normal_day,3.24,1.88,2.86,3.33,3.75,58
1/28/2016,1,Other,Normal_day,3.24,1.88,2.86,3.33,3.75,173
1/28/2016,1,Western food,Normal_day,3.24,1.88,2.86,3.33,3.75,129
